0;Место №1;10;0;13000;0
1;Место №2;10;0;13000;0
2;Место №3;10;0;13000;0
3;26 декабря в 11:00;15;3;8000;1
4;29 декабря в 11:00;15;2;8000;1
5;31 декабря в 11:00;15;7;8000;1
6;сертификат на 2 детей;30;542;8000;2
7;сертификат на 4 детей;30;160;16000;2
8;сертификат на 6 детей;35;96;24000;2
9;Сертификат на 2 детей;30;487;8000;3
10;Сертификат на 4 детей;30;181;16000;3
11;Сертификат на 6 детей;35;86;24000;3
12;Подарочный бокс №1;35;0;15500;4
13;Подарочный бокс №2;35;0;15500;4
14;Подарочный бокс №3;35;0;15500;4
15;Подарочная карта Chocolife.me на 2 000 тенге;0;13;2000;5
16;Подарочная карта Chocolife.me на 5 000 тенге;0;327;5000;5
17;Подарочная карта Chocolife.me на 10 000 тенге;0;173;10000;5
18;До 31 декабря 16:00;47;0;50000;6
19;С 16:00 до 22:00 31 декабря;50;0;60000;6
20;С 22:00 31 декабря;48;0;80000;6
21;26 декабря в 11:00;15;3;8000;7
22;29 декабря в 11:00;15;2;8000;7
23;31 декабря в 11:00;15;7;8000;7
24;Чистка зубов (зубной камень);65;3;10000;8
25;Чистка зубов с отбеливающей пастой;54;2;15000;8
26;Протезирование (съемный протез);35;0;40000;8
27;Профессиональная чистка зубов + полировка отбеливающей пастой;75;48;10000;9
28;Отбеливание ZOOM PRO;70;5;30000;9
29;Лечение поверхностного кариеса;51;1;12000;9
30;Традиционный тайский массаж (60 минут) + чайная церемония;39;108;14000;10
31;Тайский массаж с маслом (60 минут) + чайная церемония;44;140;16000;10
32;Тайский массаж травяными мешочками (60 минут) + чайная церемония;40;7;16500;10
33;Женская стрижка + маска + укладка (любая длина волос);53;19;5500;11
34;Горячее ламинирование волос + стрижка;54;0;14000;11
35;Укладка на любую длину (голливудские локоны, объем, выпрямление);63;0;6000;11
36;1 процедура;50;0;1000;12
37;3 процедуры;50;0;3000;12
38;5 процедур;52;0;5000;12
39;1 процедура;54;0;17000;13
40;3 процедуры;54;0;50000;13
41;5 процедур;56;0;85000;13
42;1 месяц;50;20;45000;14
43;3 месяца;50;32;100000;14
44;6 месяцев;50;5;180000;14
45;1 месяц;50;49;8000;15
46;3 месяца;50;30;22000;15
47;1 месяц;50;37;10000;15
48;Коньки (1 сутки);50;26;2000;16
49;Полный комплект (лыжи или сноуборд + ботинкти + куртка, штаны, балаклава) (1 сутки);37;6;11490;16
50;Комплект лыж: лыжи, ботинки, палочки (1 сутки);30;9;5000;16
51;Прокат коньков на 1 сутки;50;10;2000;17
52;Прокат коньков на 1 день или 1 ночь;50;140;1000;17
53;Полный комплект: лыжи или сноуборд + куртка + штаны + шлем на 1 сутки;30;37;10000;17