689;Сальса Пармеджано Двойной Криспи;"Бургер с двойной куриной котлетой криспи, с новым островатым соусом сальса и сырным
                                    соусом пармеджано, булочкой бриошь, свежими овощами и халапеньо";2550;https://mobile.qsr.kz/files/6770;59;5
690;Сальса Пармеджано Криспи;"Бургер с хрустящей куриной котлетой в панировке, с новым островатым соусом сальса и
                                    сырным соусом пармеджано , булочкой бриошь, свежими овощами и халапеньо";1800;https://mobile.qsr.kz/files/6764;59;5
691;Сальса Пармеджано Воппер;"Сытный бургер со 100% говядиной, приготовленной на огне, с новым островатым соусом
                                    сальса и сырным соусом пармеджано, булочкой бриошь, свежими овощами, жареным луком и
                                    халапеньо";2650;https://mobile.qsr.kz/files/6754;59;5
692;Сальса Пармеджано Стрипсы;"Бургер с хрустящими куриными стрипсами, с новым островатым соусом сальса и сырным
                                    соусом пармеджано , булочкой бриошь, свежими овощами и халапеньо";1800;https://mobile.qsr.kz/files/6759;59;5
693;Сальса Пармеджано Стрипсы;"Бургер с хрустящими куриными стрипсами, с новым островатым соусом сальса и сырным
                                    соусом пармеджано , булочкой бриошь, свежими овощами и халапеньо + Кинг Фри
                                    увеличенный + Coca-Cola (500 мл)";2900;https://mobile.qsr.kz/files/6780;60;5
694;Сальса Пармеджано Воппер;"Сытный бургер со 100% говядиной, приготовленной на огне, с новым островатым соусом
                                    сальса и сырным соусом пармеджано, булочкой бриошь, свежими овощами, жареным луком и
                                    халапеньо + Кинг Фри увеличенный + Coca-Cola (500 мл)";3700;https://mobile.qsr.kz/files/6773;60;5
695;Сальса Пармеджано Двойной Криспи;"Бургер с двойной куриной котлетой криспи, с новым островатым соусом сальса и сырным
                                    соусом пармеджано, булочкой бриошь, свежими овощами и халапеньо";3600;https://mobile.qsr.kz/files/6790;60;5
696;Сальса Пармеджано Криспи;"Бургер с хрустящей куриной котлетой в панировке, с новым островатым соусом сальса и
                                    сырным соусом пармеджано , булочкой бриошь, свежими овощами и халапеньо + Кинг Фри
                                    увеличенный + Coca-Cola (500 мл)";2900;https://mobile.qsr.kz/files/6785;60;5
697;KING BOX 2;"Криспи Чикен (2 шт.), Воппер, Наггетсы (6 шт.), Стрипсы (5 шт.) + Роял Фри,
                                    Coca-Cola (3шт., 400 мл.)";8200;https://mobile.qsr.kz/files/1241;61;5
698;KING BOX 1;"Криспи Чикен (2 шт.), Чизбургер, Воппер мини, Мини Бакет фри, Луковые кольца (8
                                    шт.), Наггетсы (6 шт.), Кетчуп, Сырный соус, Coca-Cola (1 л)";7200;https://mobile.qsr.kz/files/1003;61;5
699;Моцарелла Кинг;"Флагман новой линейки Моцарелла! На сырной булочке — свежие овощи, маринованные
                                    огурчики, 100%-я говядина на огне под соусом Сальса. И самое главное — нежная
                                    расплавленная Моцарелла в золотистой корочке. Тебе понравится!";2700;https://mobile.qsr.kz/files/6148;62;5
700;Воппер;"Фирменный, сытный бургер с овощами, со 100% говядиной, приготовленной на открытом
                                    огне.";2100;https://mobile.qsr.kz/files/1146;62;5
701;Воппер с сыром;"Фирменный, сытный бургер с овощами, со 100% говядиной, приготовленной на открытом
                                    огне и сыром";2300;https://mobile.qsr.kz/files/1147;62;5
702;Криспи чикен;Булочка с кунжутом, майонез, салат айсберг, томаты, куриная котлета Криспи чикен;1350;https://mobile.qsr.kz/files/1157;62;5
703;Криспи Чикен с сыром;Булочка с кунжутом, сыр, майонез, салат айсберг, томаты, куриная котлета;1450;https://mobile.qsr.kz/files/1158;62;5
704;Лонг чикен;Сытный бургер с хрустящими листьями салата и нежным куриным филе.;1600;https://mobile.qsr.kz/files/1155;62;5
705;Лонг чикен с сыром;"Сытный бургер с хрустящими листьями салата, нежным куриным филе и двумя ломтиками
                                    сыра.";1800;https://mobile.qsr.kz/files/1156;62;5
706;Стейкхаус;"Сытный говяжий бургер с сыром и хрустящим луком в кукурузной булочке с соусом
                                    барбекю";2000;https://mobile.qsr.kz/files/1150;62;5
707;Биг Кинг;"Бургер с 2 говяжьими котлетами, солеными огурцами и cалатом Айсберг под фирменным
                                    Королевским соусом.";1600;https://mobile.qsr.kz/files/1151;62;5
708;Чиззи ролл;"Сытный и легкий CHEESY РОЛЛ со 100%-м сочным куриным филе, с картофельными дольками,
                                    со свежими овощами и с несравненным Сырным соусом в пшеничной лепешке";1750;https://mobile.qsr.kz/files/1161;62;5
709;Воппер мини;"Фирменный бургер среднего размера со свежими овощами и 100% говядиной,
                                    приготовленной на гриле.";950;https://mobile.qsr.kz/files/1148;62;5
710;Двойной криспи чикен;"Сытный куриный бургер со свежими овощами и двойной хрустящей котлетой в кукурузной
                                    булочке";2050;https://mobile.qsr.kz/files/1159;62;5
711;Чизбургер;"Бургер среднего размера с говяжьей котлетой, приготовленной на огне, с ломтиком
                                    сыра, горчицей и кетчупом.";650;https://mobile.qsr.kz/files/1154;62;5
712;Наггетс бургер;Куриный бургер среднего размера с наггетсами и свежим салатом;650;https://mobile.qsr.kz/files/1160;62;5
713;Party Бакет 3;27 закусок! Стрипсы (10 шт.), Наггетсы (15 шт.), Кинг Фри, Картофель по-деревенски;6100;https://mobile.qsr.kz/files/4039;63;5
714;Party Бакет 1;"37 закусок! Кинг Крылышки (10 шт.), Стрипсы (8 шт.), Наггетсы (9 шт.), Луковые
                                    кольца (8 шт.), Кинг Фри, Картофель по-деревенски";7100;https://mobile.qsr.kz/files/4029;63;5
715;Party Бакет 2;"37 закусок! Крылья в панировке (10 шт.), Стрипсы (8 шт.), Наггетсы (9 шт.), Луковые
                                    кольца (8 шт.), Кинг Фри, Картофель по-деревенски";7500;https://mobile.qsr.kz/files/4034;63;5
716;Воппер комбо;"Фирменный, сытный бургер с овощами, со 100% говядиной, приготовленной на открытом
                                    огне + Кинг Фри увеличенный + Coca-Cola (500 мл)";3150;https://mobile.qsr.kz/files/5966;64;5
717;Криспи чикен с сыром;"Булочка с кунжутом, сыр, майонез, салат айсберг, томаты, куриная котлета + Кинг Фри
                                    увеличенный + Coca-Cola (500 мл)";2500;https://mobile.qsr.kz/files/5998;64;5
718;Воппер с сыром комбо;"Фирменный, сытный бургер с сыром и овощами, со 100% говядиной, приготовленной на
                                    открытом огне и сыром + Кинг Фри увеличенный + Coca-Cola 0,5";3350;https://mobile.qsr.kz/files/1366;64;5
719;Чизбургер комбо;"Бургер среднего размера с говяжьей котлетой приготовленной на огне, с ломтиком сыра,
                                    луком, горчицей и кетчупом + Кинг Фри увеличенный + Coca-Cola (500 мл)";1850;https://mobile.qsr.kz/files/6006;64;5
720;Чиззи ролл комбо;"Сытный и легкий CHEESY РОЛЛ со 100%-м сочным куриным филе, с картофельными дольками,
                                    со свежими овощами и с несравненным Сырным соусом в пшеничной лепешке + Кинг Фри
                                    увеличенный + Coca-Cola (500 мл)";2900;https://mobile.qsr.kz/files/5982;64;5
721;Двойной криспи чикен комбо;"Сытный куриный бургер со свежими овощами и двойной хрустящей котлетой в кукурузной
                                    булочке + Кинг Фри увеличенный + Coca-Cola (500 мл)";3150;https://mobile.qsr.kz/files/5974;64;5
722;Лонг чикен с сыром комбо;"Сытный бургер с хрустящими листьями салата, нежным куриным филе и двумя ломтиками
                                    сыра + Кинг Фри увеличенный + Coca-Cola (500 мл)";2800;https://mobile.qsr.kz/files/6002;64;5
723;Наггетс бургер комбо;"Куриный бургер среднего размера с наггетсами и свежим салатом + Кинг Фри увеличенный
                                    + Coca-Cola (500 мл)";1850;https://mobile.qsr.kz/files/6014;64;5
724;Криспи чикен Комбо;"Булочка с кунжутом, майонез, салат айсберг, томаты, куриная котлета Криспи чикен +
                                    Кинг Фри увеличенный + Coca-Cola (500 мл)";2400;https://mobile.qsr.kz/files/5994;64;5
725;Лонг Чикен комбо;"Сытный бургер с хрустящими листьями салата и нежным куриным филе.+ Кинг Фри
                                    увеличенный + Coca-Cola (500 мл)";2600;https://mobile.qsr.kz/files/5990;64;5
726;Стейкхаус комбо;"Сытный говяжий бургер с сыром и хрустящим луком в кукурузной булочке с соусом
                                    барбекю + Кинг Фри увеличенный + Coca-Cola (500 мл)";3000;https://mobile.qsr.kz/files/6010;64;5
727;Стрипсы 3 шт.;"Сочные стрипсы из нежного куриного филе в хрустящей панировке. Дополни соусом на
                                    выбор - сырный, кетчуп, барбекю.";950;https://mobile.qsr.kz/files/1232;65;5
728;Стрипсы 5 шт.;"Сочные стрипсы из нежного куриного филе в хрустящей панировке. Дополни соусом на
                                    выбор - сырный, кетчуп, барбекю.";1550;https://mobile.qsr.kz/files/1235;65;5
729;Стрипсы 8 шт.;"Сочные стрипсы из нежного куриного филе в хрустящей панировке. Дополни соусом на
                                    выбор - сырный, кетчуп, барбекю.";2300;https://mobile.qsr.kz/files/1238;65;5
730;Кинг фри M;Хрустящий картофель фри. Дополни соусом на выбор - сырный, кетчуп, барбекю.;500;https://mobile.qsr.kz/files/1384;65;5
731;Кинг фри L;Хрустящий картофель фри. Дополни соусом на выбор - сырный, кетчуп, барбекю.;600;https://mobile.qsr.kz/files/1385;65;5
732;Роял фри сырный;Горячие ломтики картофеля фри с топпингом из сырного соуса и хрустящего лука.;950;https://mobile.qsr.kz/files/1381;65;5
733;Роял фри сырный + bbq;"Горячие ломтики картофеля фри с топпингом из сырного соуса, хрустящего лука и соуса
                                    барбекю.";950;https://mobile.qsr.kz/files/1382;65;5
734;Кинг наггетсы 6 шт;"Нежные наггетсы из белого куриного филе.
                                    Дополни соусом на выбор - сырный, кетчуп, барбекю.";900;https://mobile.qsr.kz/files/1391;65;5
735;Кинг наггетсы 9 шт;"Нежные наггетсы из белого куриного филе.
                                    Дополни соусом на выбор - сырный, кетчуп, барбекю.";1300;https://mobile.qsr.kz/files/1392;65;5
736;Кинг крылышки 3 шт;"Острые куриные крылышки по фирменному рецепту, в соусе барбекю. Дополни соусом на
                                    выбор - сырный, кетчуп, барбекю.";850;https://mobile.qsr.kz/files/1398;65;5
737;Кинг крылышки 8 шт;"Острые куриные крылышки по фирменному рецепту, в соусе барбекю. Дополни соусом на
                                    выбор - сырный, кетчуп, барбекю.";1700;https://mobile.qsr.kz/files/1397;65;5
738;Крылья в панировке 8 шт;"Сочные куриные крылышки в хрустящей панировке.
                                    Дополни соусом на выбор - сырный, кетчуп, барбекю.";2300;https://mobile.qsr.kz/files/1394;65;5
739;Кинг наггетсы 15 шт;"Нежные наггетсы из белого куриного филе.
                                    Дополни соусом на выбор - сырный, кетчуп, барбекю.";2300;https://mobile.qsr.kz/files/23;65;5
740;Крылья в панировке 5 шт;"Сочные куриные крылышки в хрустящей панировке.
                                    Дополни соусом на выбор - сырный, кетчуп, барбекю.";1550;https://mobile.qsr.kz/files/1393;65;5
741;Картофель по-деревенски M;"Попробуйте хрустящие горячие картофельные дольки с неповторимым вкусом *Дополни
                                    соусом на выбор - сырный, кетчуп, барбекю.";650;https://mobile.qsr.kz/files/1388;65;5
742;Луковые колечки 8 шт.;"Хрустящие луковые колечки, идеальная закуска.
                                    Дополни соусом на выбор - сырный, кетчуп, барбекю.";950;https://mobile.qsr.kz/files/1400;65;5
743;Крылья в панировке 3 шт;"Сочные куриные крылышки в хрустящей панировке.
                                    Дополни соусом на выбор - сырный, кетчуп, барбекю.";950;https://mobile.qsr.kz/files/1395;65;5
744;Картофель по-деревенски L;"Попробуйте хрустящие горячие картофельные дольки с неповторимым вкусом *Дополни
                                    соусом на выбор - сырный, кетчуп, барбекю.";700;https://mobile.qsr.kz/files/1389;65;5
745;Луковые кольца 4 шт;"Хрустящие луковые колечки, идеальная закуска.
                                    Дополни соусом на выбор - сырный, кетчуп, барбекю.";500;https://mobile.qsr.kz/files/1399;65;5
746;Кинг крылышки 5 шт;"Острые куриные крылышки по фирменному рецепту, в соусе барбекю. Дополни соусом на
                                    выбор - сырный, кетчуп, барбекю.";1300;https://mobile.qsr.kz/files/1396;65;5
747;Детское меню с наггетсами;Игрушка, Наггетсы (4 шт.), Кинг фри S и сок Piko (200 мл);1650;https://mobile.qsr.kz/files/6059;66;5
748;Детское меню с гамбургером;Игрушка, Гамбургер с говяжьей котлетой, Кинг фри S и сок Piko (200 мл);1650;https://mobile.qsr.kz/files/6064;66;5
749;Вишневый пирожок;Хрустящий пирожок с вишневой начинкой.;500;https://mobile.qsr.kz/files/1163;67;5
750;Вода BonAqua (500 мл);Вода BonAqua без газа;350;https://mobile.qsr.kz/files/1064;68;5
751;Sprite 0,5;Sprite 0,5.;450;https://mobile.qsr.kz/files/6053;68;5
752;Сок Piko (200 мл);Яблочный сок;350;https://mobile.qsr.kz/files/1065;68;5
753;Fuse tea;Fuse tea.;450;https://mobile.qsr.kz/files/1059;68;5
754;Fanta 0,5;Fanta 0,5.;450;https://mobile.qsr.kz/files/6049;68;5
755;Coca-cola 0,5;Coca-Cola 0,5.;450;https://mobile.qsr.kz/files/6045;68;5
756;Кетчуп;Описание отсутствует;150;https://mobile.qsr.kz/files/347;69;5
757;Соус барбекю;Описание отсутствует;150;https://mobile.qsr.kz/files/345;69;5
758;Сырный соус;Описание отсутствует;150;https://mobile.qsr.kz/files/346;69;5
759;Чайханский плов, 1 кг;"Необыкновенный темный пряный плов с насыщенным вкусом специй из сорта риса ""Лазер"".
                                    Говядина обжаривается с сочной желтой морковью. Завершает блюдо ароматы чеснока и
                                    зиры";4890;https://sc01.chocofood.kz/hermes/food_new/e/e2327d88-3a7a-4395-8a78-b81e3e544034.jpeg;70;6
760;"Плов ""Праздничный"", 1 кг";"Легендарный сытный плов из риса твердого сорта ""Лазер"" с говядиной, приготовленный
                                    по традиционному узбекскому рецепту. Готовится с желтой морковью, нутом и изюмом";4890;https://sc01.chocofood.kz/hermes/food_new/c/c5b83bfb-3dd9-4ee3-a97e-8da4574f4a51.jpeg;70;6
761;Ханский плов с казы, 1 кг;"Сытный плов говядиной, из риса твердого сорта ""Лазер"". Готовится с желтой морковью,
                                    нутом и изюмом. Подается с казы, перепелиным яйцом и острым красным перцем. Лучший
                                    выбор для особого случая!";6790;https://sc01.chocofood.kz/hermes/food_new/6/68926bc9-6478-4bf1-a13e-db62ac20d11c.jpeg;70;6
762;"Плов ""Праздничный""";"Рис твердого сорта ""Лазер"", говядина, желтая марковь, нут, изюм, приготовленные по
                                    традиционному узбекскому рецепту";2690;https://sc01.chocofood.kz/hermes/food_new/c/cd288939-8387-4d38-afde-1777456df16a.jpeg;70;6
763;"Плов ""Чайханский""";"Темный плов с насыщенным ароматом специй, из риса сорта лазер, обжаренной говядины,
                                    сочной желтой моркови и зиры";2790;https://sc01.chocofood.kz/hermes/food_new/0/0055dff3-adc4-4f9e-93fd-18296328b3db.jpeg;70;6
764;"Плов ""Ханский"" с казы";"Сытный плов говядиной, из риса твердого сорта лазар. Готовится с желтой морковью,
                                    нутом и изюмом. Подается с казы, перепелиным яйцом и острым красным перцем.";3890;https://sc01.chocofood.kz/hermes/food_new/0/04ffd445-a344-4d05-96f3-ff635581fd87.jpeg;70;6
765;Донер-плов;"Вкуснейший праздничный плов, салат ачучук из самых сочных томатов, соленые огурцы,
                                    нежнейшие кусочки говядины и все это обернуто в мягкий лист лаваша";2590;https://sc01.chocofood.kz/hermes/food_new/5/5ea8e659-13fc-4eac-a42b-4f375b308c9b.jpeg;70;6
766;Бешбармак;"Нежнейшая говядина, казы, картофель, жайма под вкусным бульоном из говядины
                                    приправленные лучком";2890;https://sc01.chocofood.kz/hermes/food_new/9/9259b706-39a7-4924-a3a3-f131bd3974ed.jpeg;70;6
767;Манты жареные, 4 шт;Тонко раскатанное тесто, нарезанное кубиками мясо говядины, фирменный соус Rumi;1660;https://sc01.chocofood.kz/hermes/food_new/8/8a33ebc4-8331-43a0-8cd9-4788c711b411.jpeg;70;6
768;Манты жареные, 7 шт;"Тонко раскатанное тесто, нарезанное кубиками мясо говядины, фирменный соус ""Rumi""";2390;https://sc01.chocofood.kz/hermes/food_new/2/29e8ff9b-f877-4945-bfc9-f179d36550b5.jpeg;70;6
769;Манты на пару, 4 шт;Тонко раскатанное тесто, нарезанное кубиками мясо говядины, фирменный соус Rumi;1660;https://sc01.chocofood.kz/hermes/food_new/a/a2151705-df81-4d14-afc6-8298162cde85.jpeg;70;6
770;Манты на пару, 7 шт;"Тонко раскатанное тесто, нарезанные кубиками мясо говядины. Подается с фирменным
                                    соусом ""RUMI""";2390;https://sc01.chocofood.kz/hermes/food_new/2/2cf94a86-83b1-49b4-93a0-d6d26c2cf4cd.jpeg;70;6
771;Вареники на пару;Тонкое тесто с нежным картофельным пюре. Подается со сметаной.;1450;https://sc01.chocofood.kz/hermes/food_new/8/8a9fdf90-23b0-40e6-b8e8-32b56c20a6cd.jpeg;70;6
772;Пельмени жареные;"Аппетитные обжаренные пельмени из говяжьего фарша с добавлением бараньего жира и
                                    лука. Подаются со сметаной";1490;https://sc01.chocofood.kz/hermes/food_new/5/5a49dc3a-45af-407a-a788-5dfacc648508.jpeg;70;6
773;Вареники жареные;Аппетитные обжаренные вареники с картофелем. Подается со сметаной;1290;https://sc01.chocofood.kz/hermes/food_new/b/b1aa57db-9402-4541-86e7-4061b1375d61.jpeg;70;6
774;"Жареный лагман ""Rumi""";"Жареный лагман с хрустящими овощами.
                                    Капуста пекинская, перец полугорький, сельдерей, лук репчатый, лук зеленый и соус
                                    ""Ладжан""";2590;https://sc01.chocofood.kz/hermes/food_new/f/fd36427e-5c20-4024-86e6-902ff0cda845.jpeg;70;6
775;Лагман по домашнему;"Популярное среднеазиатское национальное блюдо из домашней лапши с мелко рубленной
                                    говядиной, тушенной с овощами в казане до аппетитной корочки.";2490;https://sc01.chocofood.kz/hermes/food_new/4/42c6c927-6ff3-43dc-9d20-18c1db45fe08.jpeg;70;6
776;Фрикасе;Куриное филе, в нежном сливочном соусе с грибами и кабачками. Подается с рисом.;2390;https://sc01.chocofood.kz/hermes/food_new/a/a99f7614-9e74-4aef-a999-1415aff9ad5b.jpeg;70;6
777;Жаркое из говядины;Обжаренное тушеное мясо говядины с картофелем;2490;https://sc01.chocofood.kz/hermes/food/d2ab3ccb-f374-4252-907b-0773e885340a;70;6
778;"Курица в соусе ""Терияки""";Обжаренные кусочки филе курицы в традиционном кисло-сладком соусе. Подается с рисом;2490;https://sc01.chocofood.kz/hermes/food_new/3/37011c33-555c-4bd0-a4c4-4588a3216f19.jpeg;70;6
779;Куырдак;Описание отсутствует;3290;https://chocofood.kz/_nuxt/img/nophoto-400x300.8339c8b.png;70;6
780;"Сет ""Куырдак""";"Салаты Свекольный, Греческий, Rumi, ассорти из выпечки, Бараньи ребрышки и печень
                                    говяжья, тушеные с картофелем";19990;https://sc01.chocofood.kz/hermes/food_new/4/44250f33-9bcc-4b3e-a0c4-d9ab3736e9ef.jpeg;71;6
781;"Сет ""Дапанджи""";"Салаты Свекольный, Греческий, Rumi, ассорти из выпечки, Курица с картофелем, овощами
                                    и специями, к блюду подается дополнительно рис или тесто";17290;https://sc01.chocofood.kz/hermes/food_new/6/66742239-422e-4fd0-adc9-33d9f274ce70.jpeg;71;6
782;"Сет ""Сырне из баранины""";"Салаты Свекольный, Греческий, Rumi, ассорти из выпечки, Ребрышки тушеные с
                                    картофелем и овощами";19990;https://sc01.chocofood.kz/hermes/food_new/9/9a6b5106-261d-49d8-bd9f-bb176da7c4a9.jpeg;71;6
783;"Сет ""Сырне из говядины""";"Салаты Свекольный, Греческий, Rumi, ассорти из выпечки, Ребрышки тушеные с
                                    картофелем и овощами";17290;https://sc01.chocofood.kz/hermes/food_new/a/a24c4967-bea7-4c05-b18e-93364a476cf6.jpeg;71;6
784;Пельмени с бульоном;Говяжий фарш с добавлением бараньего жира, лук, сметана;1590;https://sc01.chocofood.kz/hermes/food_new/7/7790e296-939d-40a0-bd97-b5d3f37c4be7.jpeg;72;6
785;Нарын с казы;Бульон на основе конины, жая, казы, с тонкой домашней лапшой, болгарским перцем.;2590;https://sc01.chocofood.kz/hermes/food_new/2/25ea5ff3-a66f-4b39-8ecd-9439bb312d1c.jpeg;72;6
786;Сорпа;Суп из баранины, болгарского перца, картофеля, моркови и лука.;2890;https://sc01.chocofood.kz/hermes/food_new/8/88f693f1-f7a3-4170-b447-351468ea4394.jpeg;72;6
